FirstName,LastName,DisplayName,UserPrincipalName,UsageLocation,AccountSkuId,JobTitle,Department,MobilePhone,OfficePhone
Christye,Swafield,Christye Swafield,Christye-Swafield@cdymodulecorp.onmicrosoft.com,ID,cdymodulecorp:DEVELOPERPACK_E5,Research Associate,Sales,715-108-6044,323-218-8025
Ahmed,Ketley,Ahmed Ketley,Ahmed-Ketley@cdymodulecorp.onmicrosoft.com,DO,cdymodulecorp:DEVELOPERPACK_E5,Assistant Professor,Training,996-971-0856,768-471-9508
Tamarah,McShane,Tamarah McShane,Tamarah-McShane@cdymodulecorp.onmicrosoft.com,ID,cdymodulecorp:DEVELOPERPACK_E5,Media Manager I,Sales,815-123-0247,996-180-5907
Thomas,Racher,Thomas Racher,Thomas-Racher@cdymodulecorp.onmicrosoft.com,BR,cdymodulecorp:DEVELOPERPACK_E5,Data Coordiator,Engineering,972-371-6550,852-753-0049
Oralle,Stairs,Oralle Stairs,Oralle-Stairs@cdymodulecorp.onmicrosoft.com,IQ,cdymodulecorp:DEVELOPERPACK_E5,Legal Assistant,Research and Development,364-470-9294,570-850-6386
Nelson,Coakley,Nelson Coakley,Nelson-Coakley@cdymodulecorp.onmicrosoft.com,US,cdymodulecorp:DEVELOPERPACK_E5,Assistant Manager,Training,903-585-3209,228-105-2728
Conni,Menhci,Conni Menhci,Conni-Menhci@cdymodulecorp.onmicrosoft.com,ID,cdymodulecorp:DEVELOPERPACK_E5,Associate Professor,Human Resources,485-964-4280,909-796-8030
Veronica,Clapham,Veronica Clapham,Veronica-Clapham@cdymodulecorp.onmicrosoft.com,US,cdymodulecorp:DEVELOPERPACK_E5,Information Systems Manager,Product Management,770-445-6346,433-347-3400
Daisey,McCalum,Daisey McCalum,Daisey-McCalum@cdymodulecorp.onmicrosoft.com,FR,cdymodulecorp:DEVELOPERPACK_E5,Research Nurse,Services,684-449-0216,438-619-9071
Melonie,Gazzard,Melonie Gazzard,Melonie-Gazzard@cdymodulecorp.onmicrosoft.com,MX,cdymodulecorp:DEVELOPERPACK_E5,Recruiting Manager,Human Resources,764-646-1183,797-713-6383
Todd,Atlay,Todd Atlay,Todd-Atlay@cdymodulecorp.onmicrosoft.com,CN,cdymodulecorp:DEVELOPERPACK_E5,Software Test Engineer I,Sales,461-181-1937,881-838-2486
Mar,Hubane,Mar Hubane,Mar-Hubane@cdymodulecorp.onmicrosoft.com,PH,cdymodulecorp:DEVELOPERPACK_E5,Executive Secretary,Training,897-469-2463,967-761-8473
Orville,Mudge,Orville Mudge,Orville-Mudge@cdymodulecorp.onmicrosoft.com,RU,cdymodulecorp:DEVELOPERPACK_E5,Staff Accountant IV,Marketing,740-653-1757,720-772-9075
Fiorenze,Glinde,Fiorenze Glinde,Fiorenze-Glinde@cdymodulecorp.onmicrosoft.com,RU,cdymodulecorp:DEVELOPERPACK_E5,Geologist I,Human Resources,310-536-8439,115-356-4349
Oswell,Tommaseo,Oswell Tommaseo,Oswell-Tommaseo@cdymodulecorp.onmicrosoft.com,US,cdymodulecorp:DEVELOPERPACK_E5,Human Resources Assistant II,Business Development,301-677-2766,758-864-1778
Lillian,Packman,Lillian Packman,Lillian-Packman@cdymodulecorp.onmicrosoft.com,BR,cdymodulecorp:DEVELOPERPACK_E5,Design Engineer,Sales,957-314-4953,902-652-5895
Nathan,Sutherby,Nathan Sutherby,Nathan-Sutherby@cdymodulecorp.onmicrosoft.com,CN,cdymodulecorp:DEVELOPERPACK_E5,VP Product Management,Research and Development,453-979-0768,881-942-7578
Moses,Pinnock,Moses Pinnock,Moses-Pinnock@cdymodulecorp.onmicrosoft.com,UA,cdymodulecorp:DEVELOPERPACK_E5,Budget/Accounting Analyst III,Sales,386-169-5615,491-268-0850
Errol,Snaden,Errol Snaden,Errol-Snaden@cdymodulecorp.onmicrosoft.com,BO,cdymodulecorp:DEVELOPERPACK_E5,Operator,Support,916-411-7752,339-115-9230
Francklyn,Lockyear,Francklyn Lockyear,Francklyn-Lockyear@cdymodulecorp.onmicrosoft.com,AL,cdymodulecorp:DEVELOPERPACK_E5,Programmer Analyst I,Accounting,682-462-4753,215-564-9428
