#TYPE Microsoft.Online.Administration.UserExtended
"Password","ExtensionData","AlternateEmailAddresses","AlternateMobilePhones","AlternativeSecurityIds","BlockCredential","City","CloudExchangeRecipientDisplayType","Country","Department","DirSyncProvisioningErrors","DisplayName","Errors","Fax","FirstName","ImmutableId","IndirectLicenseErrors","IsBlackberryUser","IsLicensed","LastDirSyncTime","LastName","LastPasswordChangeTimestamp","LicenseAssignmentDetails","LicenseReconciliationNeeded","Licenses","LiveId","MSExchRecipientTypeDetails","MSRtcSipDeploymentLocator","MSRtcSipPrimaryUserAddress","MobilePhone","ObjectId","Office","OverallProvisioningStatus","PasswordNeverExpires","PasswordResetNotRequiredDuringActivate","PhoneNumber","PortalSettings","PostalCode","PreferredDataLocation","PreferredLanguage","ProxyAddresses","ReleaseTrack","ServiceInformation","SignInName","SoftDeletionTimestamp","State","StreetAddress","StrongAuthenticationMethods","StrongAuthenticationPhoneAppDetails","StrongAuthenticationProofupTime","StrongAuthenticationRequirements","StrongAuthenticationUserDetails","StrongPasswordRequired","StsRefreshTokensValidFrom","Title","UsageLocation","UserLandingPageIdentifierForO365Shell","UserPrincipalName","UserThemeIdentifierForO365Shell","UserType","ValidationStatus","WhenCreated"
"Muz64429","System.Runtime.Serialization.ExtensionDataObject","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]",,"False",,,,"Sales",,"Christye Swafield",,,"Christye",,,"False","True",,"Swafield","24/01/2023 09:47:40","System.Collections.Generic.List`1[Microsoft.Online.Administration.LicenseAssignmentDetail]","False","System.Collections.Generic.List`1[Microsoft.Online.Administration.UserLicense]","100320026BD5BE2E",,,,"715-108-6044","411db722-80ff-4835-a2b6-d22c370797a4",,"PendingInput","False",,,,,,,,,,"Christye-Swafield@cdymodulecorp.onmicrosoft.com",,,,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationMethod]","System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationPhoneAppDetail]",,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationRequirement]",,"True","24/01/2023 09:47:40","Research Associate","ID",,"Christye-Swafield@cdymodulecorp.onmicrosoft.com",,"Member","Healthy",
"Cof03459","System.Runtime.Serialization.ExtensionDataObject","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]",,"False",,,,"Training",,"Ahmed Ketley",,,"Ahmed",,,"False","True",,"Ketley","24/01/2023 09:47:41","System.Collections.Generic.List`1[Microsoft.Online.Administration.LicenseAssignmentDetail]","False","System.Collections.Generic.List`1[Microsoft.Online.Administration.UserLicense]","100320026BD5BE33",,,,"996-971-0856","a6fba697-5bb7-492e-ab70-c091dc0b0152",,"PendingInput","False",,,,,,,,,,"Ahmed-Ketley@cdymodulecorp.onmicrosoft.com",,,,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationMethod]","System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationPhoneAppDetail]",,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationRequirement]",,"True","24/01/2023 09:47:41","Assistant Professor","DO",,"Ahmed-Ketley@cdymodulecorp.onmicrosoft.com",,"Member","Healthy",
"Nuy05708","System.Runtime.Serialization.ExtensionDataObject","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]",,"False",,,,"Sales",,"Tamarah McShane",,,"Tamarah",,,"False","True",,"McShane","24/01/2023 09:47:42","System.Collections.Generic.List`1[Microsoft.Online.Administration.LicenseAssignmentDetail]","False","System.Collections.Generic.List`1[Microsoft.Online.Administration.UserLicense]","100320026BD5BE37",,,,"815-123-0247","f523edad-e6f0-48c7-bc46-180199d2506d",,"PendingInput","False",,,,,,,,,,"Tamarah-McShane@cdymodulecorp.onmicrosoft.com",,,,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationMethod]","System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationPhoneAppDetail]",,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationRequirement]",,"True","24/01/2023 09:47:42","Media Manager I","ID",,"Tamarah-McShane@cdymodulecorp.onmicrosoft.com",,"Member","Healthy",
"Wuz17893","System.Runtime.Serialization.ExtensionDataObject","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]",,"False",,,,"Engineering",,"Thomas Racher",,,"Thomas",,,"False","True",,"Racher","24/01/2023 09:47:43","System.Collections.Generic.List`1[Microsoft.Online.Administration.LicenseAssignmentDetail]","False","System.Collections.Generic.List`1[Microsoft.Online.Administration.UserLicense]","100320026BD5E032",,,,"972-371-6550","f4e474da-7f66-479c-bc69-5319b2ae4ed4",,"PendingInput","False",,,,,,,,,,"Thomas-Racher@cdymodulecorp.onmicrosoft.com",,,,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationMethod]","System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationPhoneAppDetail]",,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationRequirement]",,"True","24/01/2023 09:47:43","Data Coordiator","BR",,"Thomas-Racher@cdymodulecorp.onmicrosoft.com",,"Member","Healthy",
"Paq21055","System.Runtime.Serialization.ExtensionDataObject","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]",,"False",,,,"Research and Development",,"Oralle Stairs",,,"Oralle",,,"False","True",,"Stairs","24/01/2023 09:47:43","System.Collections.Generic.List`1[Microsoft.Online.Administration.LicenseAssignmentDetail]","False","System.Collections.Generic.List`1[Microsoft.Online.Administration.UserLicense]","100320026BD5BE3B",,,,"364-470-9294","cbe91acb-590f-4019-88a5-3437000968ac",,"PendingInput","False",,,,,,,,,,"Oralle-Stairs@cdymodulecorp.onmicrosoft.com",,,,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationMethod]","System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationPhoneAppDetail]",,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationRequirement]",,"True","24/01/2023 09:47:43","Legal Assistant","IQ",,"Oralle-Stairs@cdymodulecorp.onmicrosoft.com",,"Member","Healthy",
"Hop30724","System.Runtime.Serialization.ExtensionDataObject","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]",,"False",,,,"Training",,"Nelson Coakley",,,"Nelson",,,"False","True",,"Coakley","24/01/2023 09:47:44","System.Collections.Generic.List`1[Microsoft.Online.Administration.LicenseAssignmentDetail]","False","System.Collections.Generic.List`1[Microsoft.Online.Administration.UserLicense]","100320026BD5E035",,,,"903-585-3209","6c99644d-34ce-4d45-91b3-dd5fe30036af",,"PendingInput","False",,,,,,,,,,"Nelson-Coakley@cdymodulecorp.onmicrosoft.com",,,,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationMethod]","System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationPhoneAppDetail]",,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationRequirement]",,"True","24/01/2023 09:47:44","Assistant Manager","US",,"Nelson-Coakley@cdymodulecorp.onmicrosoft.com",,"Member","Healthy",
"Goy71162","System.Runtime.Serialization.ExtensionDataObject","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]",,"False",,,,"Human Resources",,"Conni Menhci",,,"Conni",,,"False","True",,"Menhci","24/01/2023 09:47:44","System.Collections.Generic.List`1[Microsoft.Online.Administration.LicenseAssignmentDetail]","False","System.Collections.Generic.List`1[Microsoft.Online.Administration.UserLicense]","100320026BD5BE4A",,,,"485-964-4280","a241bf2c-3899-4a2a-8b8a-1098ddf78c12",,"PendingInput","False",,,,,,,,,,"Conni-Menhci@cdymodulecorp.onmicrosoft.com",,,,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationMethod]","System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationPhoneAppDetail]",,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationRequirement]",,"True","24/01/2023 09:47:44","Associate Professor","ID",,"Conni-Menhci@cdymodulecorp.onmicrosoft.com",,"Member","Healthy",
"Had18429","System.Runtime.Serialization.ExtensionDataObject","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]",,"False",,,,"Product Management",,"Veronica Clapham",,,"Veronica",,,"False","True",,"Clapham","24/01/2023 09:47:45","System.Collections.Generic.List`1[Microsoft.Online.Administration.LicenseAssignmentDetail]","False","System.Collections.Generic.List`1[Microsoft.Online.Administration.UserLicense]","100320026BD5BE4C",,,,"770-445-6346","b01c6fa0-083e-45d3-bd9e-e2c8134fe7f3",,"PendingInput","False",,,,,,,,,,"Veronica-Clapham@cdymodulecorp.onmicrosoft.com",,,,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationMethod]","System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationPhoneAppDetail]",,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationRequirement]",,"True","24/01/2023 09:47:45","Information Systems Manager","US",,"Veronica-Clapham@cdymodulecorp.onmicrosoft.com",,"Member","Healthy",
"Qad78788","System.Runtime.Serialization.ExtensionDataObject","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]",,"False",,,,"Services",,"Daisey McCalum",,,"Daisey",,,"False","True",,"McCalum","24/01/2023 09:47:45","System.Collections.Generic.List`1[Microsoft.Online.Administration.LicenseAssignmentDetail]","False","System.Collections.Generic.List`1[Microsoft.Online.Administration.UserLicense]","100320026BD5E041",,,,"684-449-0216","c407f195-49f7-4ba1-9c69-28674079fe06",,"PendingInput","False",,,,,,,,,,"Daisey-McCalum@cdymodulecorp.onmicrosoft.com",,,,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationMethod]","System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationPhoneAppDetail]",,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationRequirement]",,"True","24/01/2023 09:47:45","Research Nurse","FR",,"Daisey-McCalum@cdymodulecorp.onmicrosoft.com",,"Member","Healthy",
"Xom41076","System.Runtime.Serialization.ExtensionDataObject","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]",,"False",,,,"Human Resources",,"Melonie Gazzard",,,"Melonie",,,"False","True",,"Gazzard","24/01/2023 09:47:46","System.Collections.Generic.List`1[Microsoft.Online.Administration.LicenseAssignmentDetail]","False","System.Collections.Generic.List`1[Microsoft.Online.Administration.UserLicense]","100320026BD5E045",,,,"764-646-1183","479dadad-09e8-4a9f-a10d-a823eb1d08bb",,"PendingInput","False",,,,,,,,,,"Melonie-Gazzard@cdymodulecorp.onmicrosoft.com",,,,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationMethod]","System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationPhoneAppDetail]",,"System.Collections.Generic.List`1[Microsoft.Online.Administration.StrongAuthenticationRequirement]",,"True","24/01/2023 09:47:46","Recruiting Manager","MX",,"Melonie-Gazzard@cdymodulecorp.onmicrosoft.com",,"Member","Healthy",
